year	location	stratum	visits
2010	5146	1	18
2013	5146	1	18
2016	5146	1	18
2009	5149	1	18
2009	5150	1	18
2009	5151	1	18
2007	5152	1	18
2010	5152	1	18
2008	5155	1	18
2013	5156	1	6
2016	5156	1	12
2019	5156	1	18
2022	5156	1	18
2010	5163	1	12
2013	5163	1	6
2018	5173	1	18
2015	5205	1	18
2018	5205	1	18
2021	5205	1	18
2009	5206	1	6
2015	5206	1	12
2018	5206	1	18
2021	5206	1	18
2009	5207	1	18
2012	5207	1	6
2015	5207	1	18
2018	5207	1	18
2008	5208	1	18
2011	5208	1	6
2014	5208	1	18
2017	5208	1	18
2020	5208	1	6
2009	5209	1	12
2007	5211	1	18
2010	5211	1	18
2013	5211	1	18
2016	5211	1	18
2019	5211	1	18
2022	5211	1	18
2007	5212	1	18
2010	5212	1	18
2013	5212	1	18
2016	5212	1	18
2019	5212	1	18
2009	5220	1	18
2015	5220	1	18
2018	5220	1	18
2021	5220	1	12
2009	5221	1	18
2015	5221	1	18
2018	5221	1	18
2021	5221	1	12
2009	5223	1	18
2018	5223	1	18
2021	5223	1	6
2009	5225	1	18
2018	5225	1	18
2021	5225	1	18
2008	5226	1	12
2011	5226	1	18
2017	5226	1	18
2020	5226	1	12
2008	5227	1	12
2011	5227	1	18
2008	5229	1	18
2011	5229	1	18
2008	5230	1	12
2011	5230	1	18
2008	5231	1	18
2011	5231	1	18
2014	5231	1	18
2017	5231	1	18
2020	5231	1	18
2023	5231	1	18
2010	5232	1	18
2013	5232	1	18
2016	5232	1	18
2019	5232	1	18
2022	5232	1	12
2009	5233	1	18
2012	5233	1	16
2015	5233	1	18
2018	5233	1	18
2021	5233	1	18
2008	5234	1	18
2011	5234	1	18
2014	5234	1	18
2017	5234	1	18
2020	5234	1	18
2023	5234	1	18
2010	5235	1	18
2013	5235	1	18
2016	5235	1	18
2019	5235	1	18
2022	5235	1	12
2009	5236	1	18
2012	5236	1	18
2015	5236	1	18
2018	5236	1	18
2021	5236	1	18
2007	5237	1	18
2010	5237	1	18
2013	5237	1	18
2007	5238	1	12
2010	5238	1	18
2013	5238	1	18
2007	5239	1	18
2011	5239	1	18
2014	5239	1	18
2015	5239	1	6
2009	5240	1	18
2012	5240	1	12
2009	5241	1	18
2012	5241	1	18
2015	5241	1	12
2009	5242	1	18
2012	5242	1	18
2007	5244	1	18
2009	5244	1	18
2012	5244	1	18
2015	5244	1	6
2008	5248	1	6
2011	5248	1	12
2014	5248	1	18
2007	5283	1	18
2010	5283	1	12
2013	5283	1	12
2016	5283	1	18
2019	5283	1	18
2022	5283	1	24
2009	5284	1	18
2012	5284	1	18
2015	5284	1	18
2018	5284	1	18
2021	5284	1	18
2007	5318	1	18
2010	5318	1	12
2009	5345	1	6
2014	5345	1	18
2017	5345	1	18
2020	5345	1	18
2023	5345	1	18
2007	5349	1	18
2010	5349	1	18
2016	5349	1	18
2019	5349	1	18
2022	5349	1	18
2008	5351	1	18
2011	5351	1	18
2017	5351	1	18
2020	5351	1	6
2021	5351	1	18
2023	5351	1	18
2008	5352	1	18
2011	5352	1	18
2017	5352	1	18
2020	5352	1	18
2008	5353	1	18
2011	5353	1	18
2014	5353	1	18
2017	5353	1	18
2020	5353	1	18
2009	5354	1	18
2012	5354	1	18
2015	5354	1	18
2018	5354	1	18
2021	5354	1	18
2018	5358	1	18
2021	5358	1	18
2008	5362	1	18
2011	5362	1	18
2008	5363	1	18
2011	5363	1	18
2008	5364	1	11
2011	5364	1	9
2014	5364	1	12
2017	5364	1	12
2020	5364	1	16
2007	5432	1	18
2007	5436	1	6
2008	5439	1	15
2011	5439	1	15
2014	5439	1	15
2017	5439	1	15
2009	5440	1	18
2012	5440	1	6
2015	5440	1	18
2018	5440	1	18
2007	5441	1	18
2010	5441	1	12
2013	5441	1	18
2016	5441	1	18
2019	5441	1	18
2007	5442	1	18
2010	5442	1	12
2013	5442	1	18
2016	5442	1	18
2019	5442	1	18
2008	5444	1	18
2011	5444	1	18
2014	5444	1	18
2017	5444	1	18
2020	5444	1	18
2009	5447	1	18
2012	5447	1	18
2009	5451	1	18
2012	5451	1	18
2007	5454	1	18
2009	5455	1	18
2012	5455	1	18
2009	5462	1	6
2009	5498	1	18
2012	5498	1	6
2009	5500	1	18
2012	5500	1	6
2008	5502	1	18
2011	5502	1	18
2015	5502	1	17
2017	5502	1	18
2020	5502	1	18
2023	5502	1	18
2009	5519	1	18
2015	5519	1	17
2009	5564	1	12
2009	5591	1	18
2009	5592	1	18
2009	5593	1	18
2008	5598	1	18
2011	5598	1	18
2008	5600	1	18
2011	5600	1	18
2008	5601	1	18
2011	5601	1	18
2009	5602	1	18
2009	5604	1	18
2009	5605	1	18
2013	5605	1	18
2015	5605	1	18
2018	5605	1	18
2021	5605	1	18
2009	5611	1	18
2012	5611	1	18
2007	5613	1	18
2010	5613	1	18
2013	5613	1	18
2016	5613	1	18
2019	5613	1	18
2008	5615	1	18
2011	5615	1	18
2008	5617	1	18
2011	5617	1	18
2007	5631	1	18
2010	5631	1	12
2007	5639	1	18
2010	5639	1	12
2013	5639	1	18
2016	5639	1	18
2019	5639	1	24
2009	5644	1	18
2009	5654	1	18
2007	5666	1	18
2010	5667	1	18
2011	5667	1	18
2013	5667	1	18
2007	5668	1	18
2007	5671	1	18
2010	5671	1	18
2013	5671	1	18
2016	5671	1	18
2019	5671	1	18
2022	5671	1	18
2017	5673	1	18
2020	5673	1	24
2023	5673	1	18
2008	5723	1	12
2010	5723	1	6
2011	5723	1	12
2012	5723	1	6
2014	5723	1	6
2017	5723	1	6
2020	5723	1	18
2023	5723	1	18
2011	5725	1	12
2014	5725	1	12
2010	5738	1	18
2013	5738	1	18
2016	5738	1	18
2019	5738	1	18
2022	5738	1	18
2007	5786	1	18
2008	5788	1	18
2009	5788	1	18
2008	5789	1	18
2011	5789	1	18
2008	5791	1	18
2011	5791	1	18
2009	5840	1	18
2012	5840	1	18
2018	5840	1	18
2021	5840	1	6
2007	5851	1	18
2008	5851	1	18
2009	5851	1	18
2010	5851	1	18
2011	5851	1	18
2012	5851	1	18
2013	5851	1	17
2014	5851	1	11
2015	5851	1	6
2016	5851	1	11
2008	5871	1	18
2009	5881	1	18
2012	5881	1	18
2016	5881	1	18
2007	5886	1	18
2010	5886	1	18
2015	5886	1	18
2016	5886	1	15
2019	5886	1	18
2022	5886	1	24
2007	5887	1	18
2010	5887	1	18
2015	5887	1	18
2016	5887	1	18
2019	5887	1	18
2022	5887	1	30
2023	5898	1	18
2007	5906	1	18
2010	5906	1	18
2013	5906	1	18
2016	5906	1	18
2019	5906	1	18
2022	5906	1	18
2007	5950	1	18
2010	5950	1	18
2013	5950	1	18
2008	5953	1	18
2011	5953	1	18
2018	5960	1	18
2021	5960	1	18
2017	5961	1	18
2020	5961	1	18
2007	5962	1	18
2008	5962	1	18
2010	5962	1	18
2011	5962	1	18
2012	5962	1	18
2013	5962	1	18
2014	5962	1	18
2015	5962	1	18
2016	5962	1	18
2019	5962	1	18
2022	5962	1	18
2007	5967	1	18
2010	5967	1	18
2007	5968	1	18
2010	5968	1	18
2007	5969	1	18
2010	5969	1	18
2007	5971	1	18
2008	5971	1	18
2009	5971	1	18
2010	5971	1	18
2011	5971	1	18
2012	5971	1	12
2013	5971	1	18
2014	5971	1	18
2015	5971	1	6
2016	5971	1	18
2022	5971	1	18
2007	5973	1	12
2010	5973	1	12
2008	5974	1	18
2007	5975	1	18
2010	5975	1	18
2007	5976	1	18
2008	5976	1	17
2009	5976	1	18
2010	5976	1	18
2011	5976	1	6
2016	5976	1	18
2018	5976	1	18
2021	5976	1	18
2008	5978	1	18
2011	5978	1	18
2014	5978	1	18
2017	5978	1	18
2020	5978	1	18
2023	5978	1	18
2007	5979	1	12
2007	5980	1	12
2007	5981	1	12
2007	5982	1	18
2010	5982	1	18
2007	5984	1	11
2007	5985	1	12
2013	5987	1	18
2016	5987	1	18
2019	5987	1	18
2022	5987	1	18
2007	5992	1	18
2008	5992	1	18
2009	5992	1	18
2010	5992	1	18
2011	5992	1	18
2012	5992	1	18
2013	5992	1	18
2014	5992	1	18
2015	5992	1	6
2017	5992	1	18
2020	5992	1	12
2023	5992	1	18
2010	5995	1	12
2008	6011	1	18
2011	6011	1	18
2014	6011	1	12
2017	6011	1	18
2020	6011	1	18
2023	6011	1	18
2007	6016	1	18
2010	6016	1	18
2013	6016	1	18
2009	6018	1	18
2012	6018	1	12
2018	6018	1	18
2021	6018	1	18
2009	6020	1	18
2012	6020	1	12
2018	6020	1	18
2021	6020	1	18
2008	6021	1	12
2011	6021	1	18
2021	6021	1	18
2019	6023	1	18
2022	6023	1	18
2007	6024	1	18
2008	6024	1	18
2009	6024	1	18
2010	6024	1	12
2011	6024	1	18
2012	6024	1	18
2013	6024	1	18
2014	6024	1	18
2015	6024	1	12
2016	6024	1	18
2019	6024	1	18
2022	6024	1	18
2007	6025	1	18
2008	6025	1	18
2009	6025	1	18
2010	6025	1	18
2011	6025	1	18
2012	6025	1	18
2013	6025	1	18
2014	6025	1	18
2015	6025	1	18
2016	6025	1	18
2019	6025	1	18
2022	6025	1	18
2007	6027	1	18
2008	6027	1	18
2009	6027	1	12
2010	6027	1	18
2011	6027	1	18
2012	6027	1	18
2016	6027	1	18
2019	6027	1	18
2007	6031	1	18
2009	6034	1	18
2015	6034	1	12
2018	6034	1	18
2008	6055	1	18
2011	6055	1	18
2014	6055	1	18
2007	6072	1	18
2010	6072	1	18
2013	6072	1	18
2016	6072	1	18
2019	6072	1	18
2022	6072	1	18
2007	6126	1	18
2008	6136	1	18
2011	6136	1	18
2014	6136	1	18
2017	6136	1	18
2020	6136	1	12
2008	6137	1	18
2011	6137	1	18
2014	6137	1	18
2017	6137	1	18
2020	6137	1	18
2023	6137	1	12
2008	6138	1	18
2012	6138	1	6
2014	6138	1	18
2017	6138	1	12
2008	6143	1	18
2011	6143	1	18
2018	6144	1	4
2009	6146	1	18
2018	6146	1	6
2018	6147	1	6
2008	6150	1	18
2011	6150	1	18
2008	6151	1	18
2011	6151	1	12
2017	6151	1	18
2011	6165	1	18
2014	6165	1	18
2017	6165	1	18
2020	6165	1	18
2023	6165	1	18
2010	6166	1	18
2013	6166	1	18
2016	6166	1	18
2019	6166	1	18
2022	6166	1	18
2007	6169	1	18
2008	6169	1	18
2009	6169	1	18
2010	6169	1	18
2012	6169	1	18
2015	6169	1	18
2018	6169	1	18
2021	6169	1	18
2007	6181	1	18
2010	6181	1	18
2013	6181	1	18
2016	6181	1	12
2019	6181	1	18
2022	6181	1	18
2008	6182	1	18
2011	6182	1	18
2014	6182	1	18
2018	6182	1	18
2021	6182	1	18
2018	6185	1	18
2021	6185	1	18
2011	6187	1	18
2012	6187	1	18
2014	6187	1	6
2016	6188	1	18
2019	6188	1	18
2022	6188	1	18
2009	6192	1	18
2012	6192	1	18
2015	6192	1	18
2018	6192	1	18
2008	6194	1	18
2010	6194	1	18
2013	6194	1	18
2016	6194	1	18
2019	6194	1	18
2008	6198	1	18
2011	6198	1	18
2014	6198	1	18
2017	6198	1	18
2020	6198	1	18
2023	6198	1	6
2007	6200	1	12
2010	6200	1	18
2012	6200	1	12
2013	6200	1	12
2016	6200	1	18
2019	6200	1	18
2022	6200	1	18
2009	6202	1	12
2012	6202	1	15
2015	6202	1	15
2018	6202	1	15
2021	6202	1	8
2008	6203	1	18
2011	6203	1	18
2014	6203	1	18
2017	6203	1	18
2020	6203	1	12
2007	6206	1	18
2013	6206	1	18
2016	6206	1	18
2019	6206	1	18
2019	6248	1	18
2022	6248	1	18
2007	6249	1	6
2019	6249	1	18
2022	6249	1	18
2019	6250	1	18
2022	6250	1	18
2017	6251	1	18
2020	6251	1	18
2023	6251	1	18
2018	6252	1	18
2021	6252	1	18
2007	6253	1	5
2017	6253	1	18
2020	6253	1	18
2023	6253	1	18
2018	6254	1	18
2021	6254	1	18
2009	6255	1	18
2007	6256	1	12
2007	6257	1	18
2010	6257	1	18
2013	6257	1	18
2016	6257	1	18
2014	6258	1	18
2008	6259	1	18
2011	6259	1	18
2014	6259	1	18
2007	6260	1	18
2010	6260	1	18
2013	6260	1	18
2016	6260	1	18
2018	6265	1	24
2021	6265	1	12
2010	6272	1	18
2013	6272	1	12
2008	6273	1	18
2014	6273	1	6
2017	6273	1	18
2020	6273	1	6
2023	6273	1	12
2007	6306	1	18
2019	6306	1	24
2022	6306	1	18
2009	6310	1	18
2012	6310	1	18
2015	6310	1	18
2008	6316	1	18
2017	6316	1	15
2020	6316	1	18
2023	6316	1	15
2008	6319	1	6
2009	6319	1	18
2012	6319	1	18
2015	6319	1	18
2018	6319	1	18
2009	6326	1	18
2009	6328	1	15
2009	6331	1	18
2012	6331	1	18
2015	6331	1	12
2018	6331	1	18
2021	6331	1	18
2023	6331	1	18
2008	6332	1	18
2011	6332	1	18
2017	6332	1	18
2020	6332	1	12
2007	6339	1	18
2009	6339	1	18
2012	6339	1	18
2015	6339	1	18
2014	5433	2	18
2017	5433	2	18
2020	5433	2	12
2021	5433	2	6
2007	5435	2	12
2009	5437	2	15
2012	5437	2	12
2015	5437	2	18
2018	5437	2	6
2008	5438	2	18
2011	5438	2	18
2014	5438	2	18
2017	5438	2	18
2010	5479	2	5
2013	5479	2	16
2008	5480	2	18
2014	5480	2	18
2017	5480	2	18
2020	5480	2	18
2023	5480	2	18
2007	5606	2	18
2010	5606	2	18
2008	5607	2	18
2011	5607	2	6
2007	5608	2	18
2010	5608	2	18
2013	5608	2	18
2008	5609	2	18
2011	5609	2	6
2008	5610	2	18
2011	5610	2	18
2014	5610	2	12
2008	5618	2	18
2011	5618	2	18
2008	5622	2	18
2011	5622	2	18
2007	5635	2	12
2010	5635	2	12
2014	5635	2	18
2017	5635	2	18
2020	5635	2	18
2023	5635	2	18
2007	5636	2	18
2010	5636	2	12
2014	5636	2	18
2007	5638	2	18
2010	5638	2	12
2012	5638	2	12
2015	5638	2	18
2018	5638	2	18
2021	5638	2	18
2007	5640	2	18
2010	5640	2	12
2014	5640	2	18
2009	5641	2	18
2012	5641	2	10
2015	5641	2	18
2018	5641	2	14
2007	5642	2	18
2010	5642	2	18
2013	5642	2	18
2016	5642	2	18
2019	5642	2	18
2007	5643	2	18
2010	5643	2	12
2011	5643	2	6
2012	5643	2	18
2016	5643	2	18
2019	5643	2	18
2022	5643	2	18
2007	5645	2	18
2010	5645	2	12
2013	5645	2	18
2008	5646	2	18
2011	5646	2	18
2014	5646	2	12
2017	5646	2	18
2007	5647	2	18
2010	5647	2	18
2013	5647	2	18
2016	5647	2	18
2007	5664	2	18
2007	5665	2	18
2016	5665	2	18
2019	5665	2	18
2022	5665	2	18
2008	5766	2	6
2017	5766	2	18
2007	5767	2	18
2008	5769	2	17
2017	5769	2	18
2008	5770	2	9
2012	5770	2	12
2017	5770	2	9
2008	5792	2	18
2011	5792	2	18
2008	5793	2	18
2011	5793	2	18
2007	5934	2	12
2010	5934	2	18
2013	5934	2	18
2016	5934	2	18
2019	5934	2	18
2022	5934	2	18
2009	5937	2	18
2021	5937	2	18
2021	5938	2	18
2008	5939	2	18
2020	5939	2	11
2008	5940	2	18
2020	5940	2	12
2023	5940	2	18
2007	5941	2	18
2019	5941	2	18
2007	5942	2	6
2019	5942	2	12
2021	5943	2	18
2021	5946	2	17
2007	5947	2	18
2019	5947	2	18
2008	5948	2	15
2017	5948	2	15
2007	5988	2	12
2016	5988	2	18
2008	5989	2	12
2009	5989	2	12
2007	5990	2	18
2009	5990	2	6
2012	5990	2	18
2015	5990	2	18
2018	5990	2	18
2021	5990	2	18
2008	5991	2	12
2009	5991	2	6
2019	5994	2	18
2007	5996	2	18
2010	5996	2	18
2013	5996	2	18
2008	6000	2	12
2017	6000	2	18
2008	6004	2	18
2010	6004	2	18
2017	6004	2	18
2010	6007	2	15
2013	6007	2	15
2016	6007	2	15
2019	6007	2	15
2022	6007	2	21
2009	6008	2	18
2012	6008	2	18
2018	6008	2	18
2021	6008	2	18
2010	6010	2	18
2013	6010	2	18
2016	6010	2	18
2019	6010	2	18
2022	6010	2	18
2010	6120	2	18
2013	6120	2	18
2016	6120	2	18
2019	6120	2	18
2022	6120	2	18
2012	6121	2	18
2015	6121	2	18
2018	6121	2	18
2021	6121	2	18
2022	6121	2	6
2007	6122	2	18
2010	6122	2	18
2013	6122	2	18
2016	6122	2	18
2019	6122	2	18
2022	6122	2	18
2011	6124	2	15
2014	6124	2	15
2017	6124	2	15
2020	6124	2	15
2023	6124	2	16
2011	6131	2	18
2014	6131	2	18
2017	6131	2	18
2020	6131	2	24
2023	6131	2	18
2008	6132	2	6
2010	6132	2	18
2013	6132	2	18
2016	6132	2	18
2019	6132	2	18
2022	6132	2	24
2012	6134	2	18
2015	6134	2	18
2018	6134	2	18
2021	6134	2	18
2007	6139	2	12
2010	6139	2	6
2016	6139	2	18
2007	6160	2	18
2011	6160	2	18
2013	6160	2	18
2017	6160	2	18
2020	6160	2	18
2023	6160	2	18
2017	6162	2	18
2020	6162	2	18
2023	6162	2	18
2009	6170	2	18
2012	6170	2	12
2015	6170	2	18
2018	6170	2	18
2021	6170	2	18
2007	6171	2	18
2008	6171	2	18
2009	6171	2	18
2010	6171	2	18
2011	6171	2	18
2014	6171	2	18
2017	6171	2	18
2020	6171	2	18
2023	6171	2	18
2007	6173	2	18
2008	6173	2	18
2009	6173	2	18
2010	6173	2	18
2012	6173	2	18
2015	6173	2	18
2018	6173	2	18
2021	6173	2	18
2007	6174	2	18
2008	6174	2	18
2009	6174	2	18
2010	6174	2	18
2013	6174	2	18
2016	6174	2	18
2019	6174	2	18
2022	6174	2	18
2007	6189	2	18
2010	6189	2	18
2014	6189	2	18
2018	6189	2	12
2008	6190	2	18
2011	6190	2	18
2015	6190	2	12
2018	6190	2	12
2021	6190	2	18
2009	6195	2	18
2011	6195	2	18
2014	6195	2	18
2017	6195	2	18
2010	6196	2	18
2013	6196	2	18
2016	6196	2	18
2019	6196	2	18
2022	6196	2	18
2011	6197	2	18
2014	6197	2	18
2017	6197	2	18
2020	6197	2	18
2023	6197	2	18
2012	6199	2	18
2015	6199	2	18
2018	6199	2	18
2021	6199	2	18
2008	6246	2	18
2011	6246	2	6
2014	6246	2	12
2017	6246	2	18
2021	6246	2	18
2023	6246	2	18
2019	6263	2	18
2022	6263	2	18
2007	6267	2	18
2010	6267	2	18
2013	6267	2	18
2019	6267	2	18
2022	6267	2	18
2007	6288	2	18
2010	6288	2	18
2013	6288	2	18
2015	6288	2	18
2018	6288	2	18
2021	6288	2	18
2008	6289	2	18
2012	6289	2	18
2015	6289	2	18
2018	6289	2	12
2021	6289	2	6
2007	6290	2	18
2010	6290	2	12
2013	6290	2	18
2019	6290	2	12
2008	6291	2	18
2012	6291	2	18
2016	6291	2	12
2019	6291	2	18
2009	6292	2	18
2012	6292	2	12
2016	6292	2	18
2019	6292	2	18
2008	6295	2	18
2011	6295	2	18
2014	6295	2	18
2017	6295	2	18
2020	6295	2	18
2015	6296	2	18
2017	6296	2	18
2020	6296	2	18
2009	6302	2	18
2017	6302	2	12
2008	6304	2	12
2011	6304	2	18
2017	6304	2	18
2007	6307	2	18
2017	6307	2	18
2007	6308	2	18
2010	6308	2	18
2013	6308	2	18
2016	6308	2	6
2022	6308	2	18
2007	6309	2	18
2008	6309	2	6
2010	6309	2	18
2012	6309	2	12
2013	6309	2	18
2016	6309	2	18
2019	6309	2	108
2009	6311	2	12
2018	6311	2	18
2021	6311	2	18
2007	6312	2	18
2018	6312	2	18
2021	6312	2	18
2007	6313	2	12
2010	6313	2	12
2013	6313	2	12
2016	6313	2	12
2019	6313	2	14
2023	6313	2	18
2007	6317	2	18
2011	6320	2	18
2017	6320	2	18
2007	6324	2	12
2013	6324	2	18
2016	6324	2	12
2019	6324	2	18
2022	6324	2	24
2007	5145	3	18
2010	5145	3	18
2013	5145	3	18
2016	5145	3	18
2008	5153	3	18
2018	5158	3	18
2021	5158	3	18
2018	5159	3	18
2008	5160	3	18
2016	5160	3	18
2019	5160	3	18
2022	5160	3	18
2008	5161	3	18
2017	5161	3	18
2023	5161	3	18
2008	5165	3	18
2011	5165	3	18
2014	5165	3	18
2017	5165	3	18
2020	5165	3	12
2021	5165	3	6
2023	5165	3	18
2009	5171	3	18
2012	5171	3	18
2007	5175	3	18
2010	5175	3	12
2007	5176	3	18
2010	5176	3	12
2008	5177	3	18
2011	5177	3	18
2008	5178	3	18
2011	5178	3	18
2019	5181	3	6
2009	5182	3	18
2012	5182	3	18
2015	5182	3	18
2018	5182	3	18
2021	5182	3	18
2009	5183	3	18
2012	5183	3	18
2015	5183	3	18
2018	5183	3	18
2021	5183	3	18
2007	5184	3	18
2010	5184	3	18
2013	5184	3	18
2016	5184	3	18
2019	5184	3	18
2022	5184	3	18
2008	5185	3	18
2011	5185	3	18
2014	5185	3	18
2017	5185	3	18
2020	5185	3	18
2023	5185	3	18
2008	5186	3	18
2011	5186	3	18
2014	5186	3	9
2017	5186	3	12
2020	5186	3	16
2023	5186	3	14
2009	5187	3	17
2012	5187	3	18
2015	5187	3	18
2018	5187	3	6
2021	5187	3	6
2009	5188	3	18
2012	5188	3	18
2015	5188	3	18
2018	5188	3	6
2009	5189	3	18
2012	5189	3	18
2015	5189	3	18
2020	5189	3	18
2008	5190	3	12
2011	5190	3	18
2014	5190	3	12
2017	5190	3	18
2020	5190	3	18
2008	5191	3	12
2011	5191	3	18
2014	5191	3	12
2017	5191	3	18
2020	5191	3	18
2007	5192	3	18
2010	5192	3	18
2013	5192	3	18
2016	5192	3	18
2007	5194	3	18
2010	5194	3	6
2008	5195	3	18
2007	5196	3	18
2010	5196	3	6
2008	5197	3	18
2009	5198	3	6
2015	5201	3	18
2008	5202	3	12
2007	5203	3	17
2007	5204	3	18
2010	5204	3	18
2013	5204	3	18
2016	5204	3	18
2019	5204	3	18
2008	5218	3	12
2011	5218	3	12
2008	5254	3	18
2011	5254	3	18
2008	5255	3	18
2011	5255	3	18
2008	5256	3	18
2011	5256	3	18
2014	5256	3	12
2009	5257	3	12
2012	5257	3	18
2015	5257	3	18
2019	5257	3	18
2009	5258	3	18
2009	5259	3	6
2017	5259	3	18
2021	5259	3	18
2010	5260	3	18
2016	5260	3	18
2019	5260	3	18
2022	5260	3	18
2017	5261	3	18
2021	5261	3	18
2023	5261	3	18
2008	5262	3	18
2011	5262	3	18
2014	5262	3	18
2017	5262	3	18
2021	5262	3	18
2023	5262	3	18
2009	5263	3	18
2012	5263	3	18
2015	5263	3	18
2018	5263	3	18
2021	5263	3	18
2007	5264	3	18
2010	5264	3	18
2013	5264	3	18
2016	5264	3	18
2019	5264	3	18
2022	5264	3	18
2007	5265	3	18
2010	5265	3	18
2016	5265	3	18
2019	5265	3	18
2008	5266	3	18
2011	5266	3	18
2014	5266	3	18
