year	location	stratum	visits
2017	5266	3	18
2021	5266	3	18
2023	5266	3	18
2007	5267	3	18
2010	5267	3	18
2016	5267	3	18
2019	5267	3	12
2007	5268	3	18
2010	5268	3	6
2016	5268	3	18
2019	5268	3	18
2008	5269	3	18
2011	5269	3	18
2014	5269	3	12
2020	5269	3	12
2008	5270	3	18
2011	5270	3	6
2014	5270	3	18
2017	5270	3	18
2020	5270	3	18
2023	5270	3	18
2009	5271	3	6
2012	5271	3	12
2015	5271	3	18
2018	5271	3	18
2021	5271	3	18
2009	5272	3	6
2012	5272	3	12
2015	5272	3	18
2018	5272	3	15
2021	5272	3	15
2007	5273	3	18
2010	5273	3	6
2013	5273	3	6
2016	5273	3	12
2019	5273	3	18
2022	5273	3	18
2007	5274	3	18
2010	5274	3	12
2013	5274	3	6
2016	5274	3	5
2019	5274	3	17
2022	5274	3	17
2008	5275	3	18
2014	5275	3	18
2017	5275	3	18
2020	5275	3	18
2023	5275	3	18
2007	5276	3	18
2010	5276	3	6
2013	5276	3	6
2016	5276	3	18
2019	5276	3	18
2022	5276	3	11
2007	5277	3	18
2010	5277	3	12
2013	5277	3	18
2016	5277	3	18
2019	5277	3	18
2022	5277	3	18
2009	5278	3	6
2012	5278	3	12
2015	5278	3	6
2018	5278	3	18
2021	5278	3	18
2009	5279	3	18
2012	5279	3	18
2015	5279	3	18
2018	5279	3	18
2021	5279	3	18
2008	5280	3	18
2011	5280	3	18
2014	5280	3	18
2017	5280	3	18
2020	5280	3	12
2023	5280	3	18
2008	5281	3	17
2011	5281	3	18
2017	5281	3	18
2020	5281	3	18
2023	5281	3	18
2008	5282	3	18
2011	5282	3	18
2014	5282	3	18
2017	5282	3	18
2020	5282	3	12
2023	5282	3	18
2009	5285	3	12
2012	5285	3	6
2015	5285	3	18
2018	5285	3	18
2021	5285	3	18
2007	5286	3	18
2010	5286	3	18
2013	5286	3	18
2016	5286	3	18
2007	5287	3	18
2013	5287	3	6
2007	5288	3	18
2010	5288	3	18
2013	5288	3	12
2016	5288	3	18
2019	5288	3	18
2011	5289	3	18
2017	5289	3	18
2007	5290	3	18
2013	5290	3	18
2016	5290	3	18
2008	5291	3	6
2013	5291	3	18
2016	5291	3	18
2007	5292	3	18
2013	5292	3	12
2019	5292	3	6
2008	5293	3	18
2011	5293	3	18
2014	5293	3	18
2017	5293	3	18
2021	5293	3	18
2023	5293	3	18
2009	5294	3	12
2009	5297	3	18
2007	5300	3	12
2013	5300	3	18
2014	5301	3	18
2008	5303	3	12
2007	5307	3	18
2008	5307	3	18
2012	5307	3	18
2007	5309	3	18
2015	5309	3	18
2007	5311	3	18
2015	5311	3	18
2019	5311	3	18
2022	5311	3	18
2007	5312	3	18
2012	5312	3	18
2015	5312	3	18
2018	5312	3	18
2021	5312	3	18
2007	5313	3	18
2011	5313	3	18
2014	5313	3	18
2017	5313	3	18
2020	5313	3	18
2023	5313	3	18
2008	5314	3	18
2015	5314	3	18
2019	5314	3	18
2011	5315	3	18
2008	5319	3	12
2011	5319	3	18
2008	5320	3	12
2011	5320	3	18
2007	5321	3	12
2010	5321	3	6
2013	5321	3	18
2016	5321	3	18
2007	5322	3	18
2010	5322	3	18
2013	5322	3	18
2016	5322	3	18
2019	5322	3	18
2022	5322	3	18
2008	5323	3	18
2011	5323	3	12
2014	5323	3	18
2017	5323	3	18
2007	5324	3	12
2010	5324	3	18
2012	5324	3	18
2013	5324	3	12
2018	5324	3	18
2007	5328	3	18
2013	5328	3	6
2012	5329	3	12
2008	5330	3	18
2011	5330	3	18
2014	5330	3	18
2017	5330	3	18
2020	5330	3	12
2023	5330	3	18
2012	5331	3	6
2009	5332	3	12
2007	5333	3	18
2008	5334	3	6
2011	5334	3	12
2014	5334	3	6
2017	5334	3	11
2008	5335	3	6
2011	5335	3	12
2014	5335	3	6
2009	5336	3	6
2009	5337	3	18
2012	5337	3	18
2015	5337	3	18
2018	5337	3	18
2019	5337	3	12
2021	5337	3	18
2008	5338	3	18
2011	5338	3	18
2014	5338	3	18
2017	5338	3	18
2020	5338	3	18
2023	5338	3	6
2007	5339	3	18
2010	5339	3	18
2013	5339	3	18
2016	5339	3	18
2019	5339	3	18
2008	5340	3	18
2011	5340	3	18
2014	5340	3	18
2017	5340	3	18
2020	5340	3	18
2023	5340	3	18
2009	5341	3	18
2012	5341	3	18
2015	5341	3	18
2018	5341	3	18
2021	5341	3	18
2008	5342	3	18
2011	5342	3	18
2007	5343	3	18
2010	5343	3	18
2009	5344	3	18
2016	5357	3	12
2019	5357	3	18
2007	5365	3	18
2010	5365	3	18
2013	5365	3	18
2016	5365	3	12
2018	5365	3	18
2007	5366	3	18
2013	5366	3	18
2016	5366	3	18
2019	5366	3	18
2022	5366	3	18
2012	5367	3	18
2013	5367	3	18
2015	5367	3	18
2016	5367	3	18
2019	5367	3	18
2022	5367	3	18
2008	5368	3	12
2013	5368	3	12
2017	5368	3	18
2021	5368	3	18
2008	5369	3	18
2009	5370	3	6
2021	5370	3	18
2009	5371	3	12
2021	5371	3	18
2022	5372	3	18
2007	5373	3	18
2010	5373	3	18
2016	5373	3	18
2019	5373	3	18
2022	5373	3	18
2022	5374	3	18
2008	5375	3	18
2011	5375	3	18
2017	5375	3	6
2021	5375	3	18
2023	5375	3	18
2009	5376	3	17
2018	5376	3	18
2021	5376	3	18
2008	5378	3	18
2017	5378	3	6
2021	5378	3	17
2023	5378	3	18
2008	5379	3	18
2021	5379	3	17
2023	5379	3	18
2021	5380	3	18
2012	5381	3	12
2018	5381	3	18
2020	5381	3	6
2021	5381	3	18
2007	5382	3	18
2010	5382	3	18
2013	5382	3	6
2016	5382	3	18
2019	5382	3	18
2022	5382	3	12
2007	5384	3	18
2010	5384	3	12
2016	5384	3	18
2019	5384	3	18
2022	5384	3	18
2007	5385	3	17
2010	5385	3	18
2013	5385	3	6
2016	5385	3	18
2019	5385	3	18
2022	5385	3	18
2008	5386	3	18
2011	5386	3	6
2014	5386	3	12
2018	5386	3	18
2019	5386	3	12
2021	5386	3	18
2022	5386	3	24
2023	5386	3	18
2008	5387	3	18
2011	5387	3	18
2014	5387	3	18
2017	5387	3	18
2020	5387	3	12
2023	5387	3	18
2009	5388	3	18
2012	5388	3	18
2015	5388	3	12
2018	5388	3	15
2020	5388	3	12
2021	5388	3	6
2023	5388	3	6
2015	5389	3	15
2021	5389	3	6
2009	5390	3	18
2012	5390	3	18
2018	5390	3	18
2020	5390	3	12
2021	5390	3	12
2023	5390	3	18
2009	5391	3	18
2015	5391	3	12
2018	5391	3	18
2009	5395	3	18
2012	5395	3	6
2015	5395	3	18
2018	5395	3	18
2021	5395	3	18
2008	5396	3	18
2011	5396	3	12
2012	5396	3	6
2014	5396	3	18
2017	5396	3	18
2020	5396	3	12
2007	5397	3	18
2013	5397	3	18
2016	5397	3	18
2019	5397	3	18
2022	5397	3	12
2007	5398	3	18
2010	5398	3	18
2013	5398	3	18
2016	5398	3	18
2019	5398	3	18
2022	5398	3	18
2016	5399	3	18
2019	5399	3	18
2009	5400	3	18
2012	5400	3	12
2015	5400	3	18
2018	5400	3	18
2021	5400	3	18
2009	5402	3	17
2012	5402	3	6
2007	5403	3	18
2010	5403	3	18
2008	5405	3	18
2022	5405	3	12
2011	5406	3	18
2014	5406	3	18
2017	5406	3	18
2020	5406	3	18
2007	5407	3	18
2010	5407	3	18
2013	5407	3	18
2016	5407	3	18
2020	5407	3	18
2008	5409	3	12
2011	5409	3	16
2015	5409	3	18
2007	5410	3	18
2017	5416	3	18
2020	5416	3	18
2023	5416	3	18
2007	5419	3	18
2010	5419	3	18
2013	5419	3	18
2016	5419	3	18
2019	5419	3	18
2022	5419	3	18
2009	5420	3	18
2012	5420	3	6
2015	5420	3	18
2008	5421	3	12
2011	5421	3	18
2014	5421	3	18
2007	5422	3	18
2010	5422	3	18
2013	5422	3	18
2016	5422	3	18
2008	5473	3	10
2019	5473	3	18
2008	5474	3	10
2018	5474	3	18
2021	5474	3	18
2009	5481	3	18
2008	5482	3	18
2011	5482	3	18
2014	5482	3	6
2007	5483	3	18
2010	5483	3	18
2013	5483	3	18
2016	5483	3	6
2018	5483	3	6
2009	5484	3	18
2012	5484	3	18
2015	5484	3	18
2018	5484	3	18
2021	5484	3	18
2007	5485	3	18
2010	5485	3	18
2013	5485	3	18
2016	5485	3	18
2019	5485	3	18
2022	5485	3	18
2007	5487	3	18
2010	5487	3	18
2013	5487	3	18
2016	5487	3	15
2008	5488	3	18
2011	5488	3	12
2009	5490	3	12
2016	5490	3	18
2008	5491	3	18
2011	5491	3	12
2007	5493	3	18
2010	5493	3	18
2018	5493	3	18
2021	5493	3	18
2009	5494	3	18
2018	5494	3	18
2021	5494	3	18
2008	5495	3	18
2007	5496	3	18
2010	5496	3	18
2007	5497	3	18
2010	5497	3	18
2007	5499	3	18
2019	5499	3	11
2020	5499	3	6
2007	5501	3	18
2008	5501	3	18
2009	5501	3	18
2010	5501	3	12
2011	5501	3	18
2012	5501	3	12
2014	5501	3	18
2015	5501	3	18
2016	5501	3	18
2017	5501	3	18
2018	5501	3	18
2019	5501	3	18
2020	5501	3	12
2009	5503	3	17
2014	5503	3	15
2018	5503	3	17
2021	5503	3	17
2007	5505	3	18
2010	5505	3	6
2019	5505	3	18
2008	5507	3	18
2009	5515	3	18
2012	5515	3	18
2015	5515	3	18
2018	5515	3	18
2009	5517	3	12
2015	5518	3	18
2009	5520	3	18
2018	5520	3	6
2009	5521	3	18
2012	5521	3	12
2015	5521	3	18
2018	5521	3	18
2021	5521	3	18
2009	5522	3	18
2012	5522	3	12
2015	5522	3	18
2018	5522	3	18
2021	5522	3	18
2007	5523	3	18
2010	5523	3	18
2013	5523	3	18
2016	5523	3	18
2019	5523	3	18
2022	5523	3	18
2008	5524	3	18
2011	5524	3	18
2014	5524	3	18
2017	5524	3	18
2020	5524	3	18
2023	5524	3	18
2007	5525	3	18
2010	5525	3	18
2013	5525	3	18
2016	5525	3	18
2019	5525	3	18
2022	5525	3	18
2011	5526	3	12
2017	5526	3	18
2007	5527	3	18
2013	5527	3	18
2019	5527	3	18
2022	5527	3	18
2008	5528	3	18
2011	5528	3	18
2014	5528	3	18
2017	5528	3	18
2020	5528	3	18
2023	5528	3	18
2009	5529	3	18
2012	5529	3	18
2015	5529	3	18
2018	5529	3	18
2021	5529	3	18
2014	5530	3	18
2017	5530	3	18
2020	5530	3	18
2007	5531	3	18
2010	5531	3	18
2013	5531	3	18
2016	5531	3	18
2019	5531	3	18
2022	5531	3	18
2008	5533	3	18
2011	5533	3	18
2014	5533	3	17
2017	5533	3	18
2020	5533	3	18
2023	5533	3	18
2007	5534	3	18
2010	5534	3	12
2013	5534	3	6
2016	5534	3	18
2019	5534	3	18
2022	5534	3	18
2009	5535	3	18
2012	5535	3	12
2015	5535	3	18
2018	5535	3	18
2021	5535	3	18
2008	5539	3	12
2014	5539	3	12
2017	5539	3	18
2020	5539	3	18
2023	5539	3	18
2009	5542	3	18
2013	5542	3	18
2016	5542	3	18
2014	5543	3	18
2009	5544	3	18
2007	5545	3	18
2013	5548	3	18
2016	5548	3	18
2019	5548	3	18
2021	5548	3	6
2015	5549	3	15
2017	5549	3	6
2021	5549	3	18
2009	5551	3	12
2012	5551	3	18
2018	5551	3	18
2021	5551	3	18
2009	5560	3	18
2009	5561	3	18
2021	5561	3	12
2009	5562	3	18
2007	5563	3	18
2007	5566	3	10
2013	5566	3	18
2007	5567	3	8
2008	5571	3	14
2007	5572	3	18
2010	5573	3	18
2007	5575	3	12
2010	5575	3	18
2010	5576	3	18
2007	5577	3	18
2010	5577	3	18
2008	5578	3	18
2007	5579	3	9
2010	5579	3	18
2021	5579	3	6
2014	5580	3	18
2009	5581	3	18
2013	5581	3	18
2008	5582	3	18
2009	5585	3	18
2009	5660	3	18
2012	5660	3	18
2018	5660	3	18
2021	5660	3	18
2008	5670	3	18
2011	5670	3	18
2014	5670	3	6
2007	5674	3	18
2010	5674	3	18
2013	5674	3	6
2008	5685	3	18
2009	5685	3	12
2007	5686	3	18
2011	5686	3	18
2013	5686	3	18
2016	5686	3	18
2019	5686	3	18
2016	5687	3	12
2019	5687	3	18
2022	5687	3	18
2008	5688	3	18
2011	5688	3	18
2014	5688	3	18
2017	5688	3	18
2008	5691	3	18
2011	5691	3	18
2014	5691	3	18
2017	5691	3	18
2020	5691	3	12
2023	5691	3	18
2008	5694	3	18
2017	5694	3	18
2020	5694	3	18
2023	5694	3	18
2007	5695	3	18
2012	5695	3	18
2009	5696	3	18
2012	5696	3	18
2018	5696	3	18
2021	5696	3	18
2008	5697	3	18
2010	5697	3	18
2013	5697	3	18
2007	5698	3	18
2010	5698	3	18
2013	5698	3	18
2016	5698	3	18
2019	5698	3	18
2022	5698	3	18
2007	5700	3	18
2010	5700	3	18
2016	5700	3	18
2019	5700	3	18
2022	5700	3	18
2009	5708	3	18
2012	5708	3	6
2015	5708	3	6
2018	5708	3	18
2021	5708	3	18
2010	5710	3	18
2013	5710	3	18
2016	5710	3	18
2019	5710	3	12
2022	5710	3	18
2008	5711	3	18
2011	5711	3	18
2014	5711	3	18
2017	5711	3	18
2020	5711	3	18
2023	5711	3	18
2008	5712	3	18
2014	5712	3	18
2017	5712	3	18
2020	5712	3	12
2023	5712	3	18
2008	5713	3	18
2011	5713	3	18
2014	5713	3	18
2017	5713	3	18
2020	5713	3	18
2023	5713	3	15
2011	5714	3	6
2017	5714	3	18
2020	5714	3	18
2023	5714	3	18
2008	5715	3	12
2011	5715	3	12
2014	5715	3	18
2017	5715	3	12
2020	5715	3	18
2023	5715	3	18
2008	5716	3	18
2014	5716	3	18
2017	5716	3	18
2020	5716	3	18
2023	5716	3	18
2009	5717	3	18
2012	5717	3	6
2015	5717	3	18
2018	5717	3	18
2021	5717	3	18
2009	5718	3	18
2012	5718	3	12
2015	5718	3	17
2018	5718	3	18
2021	5718	3	18
2009	5719	3	18
2012	5719	3	12
2015	5719	3	18
2018	5719	3	18
2021	5719	3	18
2009	5720	3	12
2012	5720	3	6
2015	5720	3	18
2018	5720	3	18
2021	5720	3	17
2009	5722	3	18
2012	5722	3	6
2015	5722	3	18
2018	5722	3	18
2021	5722	3	18
2015	5724	3	18
2013	5726	3	18
2014	5726	3	4
2016	5726	3	18
2009	5728	3	18
2015	5728	3	18
2014	5730	3	18
2007	5731	3	18
2013	5731	3	12
2016	5731	3	18
2019	5731	3	18
2022	5731	3	18
2011	5732	3	12
2014	5732	3	6
2017	5732	3	18
2020	5732	3	18
2023	5732	3	18
2010	5733	3	18
2013	5733	3	18
2016	5733	3	18
2021	5733	3	18
2022	5733	3	18
2008	5734	3	18
2011	5734	3	18
2014	5734	3	6
2017	5734	3	18
2020	5734	3	18
2009	5737	3	18
2018	5737	3	18
2021	5737	3	18
2017	5740	3	18
2020	5740	3	18
2023	5740	3	18
2019	5741	3	18
2022	5741	3	18
2010	5742	3	12
2018	5742	3	18
2021	5742	3	18
2018	5743	3	24
2021	5743	3	18
2019	5744	3	18
2022	5744	3	24
2019	5745	3	18
2022	5745	3	24
2007	5746	3	18
2018	5746	3	18
2021	5746	3	18
2017	5747	3	18
2020	5747	3	12
2021	5747	3	6
2023	5747	3	18
2007	5749	3	12
2010	5749	3	6
2007	5753	3	18
2007	5754	3	18
2017	5754	3	18
2007	5756	3	18
2007	5759	3	17
2007	5761	3	6
2007	5762	3	6
2015	5762	3	6
2007	5777	3	18
2008	5779	3	18
2011	5779	3	18
2014	5779	3	10
2009	5797	3	10
2009	5798	3	10
2009	5799	3	12
2009	5836	3	12
2018	5836	3	18
2007	5839	3	15
2009	5839	3	18
2010	5839	3	18
2009	5842	3	18
2012	5842	3	18
2015	5842	3	12
2007	5843	3	18
2010	5843	3	18
2013	5843	3	12
2009	5845	3	6
2012	5845	3	6
2018	5845	3	6
2007	5846	3	12
2008	5846	3	6
2010	5846	3	6
2007	5849	3	18
2010	5849	3	12
2013	5849	3	12
2016	5849	3	6
2007	5850	3	18
2010	5850	3	18
2013	5850	3	18
2016	5850	3	18
2022	5850	3	18
2017	5853	3	12
2016	5854	3	18
2008	5855	3	18
2014	5855	3	14
2017	5855	3	12
2020	5855	3	18
2023	5855	3	3
2007	5857	3	18
2010	5857	3	18
2016	5857	3	18
2019	5857	3	24
2022	5857	3	18
2008	5858	3	18
2011	5858	3	18
2014	5858	3	18
2017	5858	3	18
2020	5858	3	18
2023	5858	3	18
2007	5859	3	18
2015	5859	3	18
2018	5859	3	12
2017	5860	3	18
2008	5861	3	12
2017	5861	3	18
2008	5869	3	18
2007	5870	3	18
2009	5877	3	18
2012	5877	3	18
2015	5877	3	18
2018	5877	3	18
2007	5879	3	18
2010	5879	3	12
2012	5879	3	18
2013	5879	3	18
2015	5879	3	6
2016	5879	3	18
2019	5879	3	18
2022	5879	3	18
2009	5882	3	18
2012	5882	3	18
2015	5882	3	18
2009	5888	3	6
2010	5888	3	18
2013	5888	3	18
2016	5888	3	18
2021	5888	3	6
2009	5889	3	12
2016	5889	3	18
2021	5889	3	18
2022	5889	3	18
2023	5889	3	18
2009	5890	3	6
2010	5890	3	18
2013	5890	3	18
2016	5890	3	18
2021	5890	3	6
2009	5892	3	12
2014	5892	3	12
2017	5892	3	6
2021	5892	3	18
2023	5892	3	18
2010	5896	3	12
2013	5896	3	18
2016	5896	3	18
2020	5896	3	18
2023	5896	3	18
2013	5897	3	18
2016	5897	3	18
2019	5897	3	18
2022	5897	3	18
2018	5899	3	6
2019	5899	3	18
2022	5899	3	18
2011	5900	3	18
2014	5900	3	18
2017	5900	3	18
2020	5900	3	24
2023	5900	3	24
2009	5901	3	6
2012	5901	3	18
2015	5901	3	18
2018	5901	3	18
2021	5901	3	18
2015	5902	3	18
2019	5902	3	18
2009	5903	3	18
2012	5903	3	18
2015	5903	3	18
2018	5903	3	18
2021	5903	3	18
2012	5904	3	6
2018	5904	3	18
2021	5904	3	12
2008	5905	3	18
2011	5905	3	18
2014	5905	3	18
2017	5905	3	18
2020	5905	3	18
2023	5905	3	18
2010	5907	3	18
2012	5907	3	6
2013	5907	3	18
2016	5907	3	18
2019	5907	3	18
2022	5907	3	18
2009	5909	3	18
2012	5909	3	18
2015	5909	3	18
2018	5909	3	18
2021	5909	3	18
2008	5910	3	18
2011	5910	3	18
2014	5910	3	18
2017	5910	3	18
2020	5910	3	18
2023	5910	3	18
2008	5911	3	12
2011	5911	3	18
2014	5911	3	18
2020	5911	3	18
2023	5911	3	18
2010	5912	3	18
2013	5912	3	18
2016	5912	3	18
2019	5912	3	18
2023	5912	3	12
2009	5913	3	18
2012	5913	3	18
2015	5913	3	18
2010	5914	3	18
2011	5914	3	18
2016	5914	3	18
2019	5914	3	18
2022	5914	3	18
2010	5915	3	17
2013	5915	3	12
2016	5915	3	18
2019	5915	3	18
2022	5915	3	18
2008	5916	3	18
2011	5916	3	18
2017	5916	3	18
2020	5916	3	18
2023	5916	3	18
2009	5917	3	18
2012	5917	3	18
2015	5917	3	18
2018	5917	3	18
2021	5917	3	18
2017	5918	3	18
2020	5918	3	18
2023	5918	3	18
2018	5919	3	18
2021	5919	3	18
2019	5920	3	18
2022	5920	3	18
2009	5921	3	15
2012	5921	3	18
2015	5921	3	18
2018	5921	3	18
2021	5921	3	18
2007	5922	3	15
2010	5922	3	10
2013	5922	3	10
2016	5922	3	18
2019	5922	3	18
2022	5922	3	18
2008	5923	3	15
2011	5923	3	18
2015	5923	3	18
2017	5923	3	18
2020	5923	3	18
2023	5923	3	18
2007	5924	3	18
2010	5924	3	12
2013	5924	3	18
2016	5924	3	18
2019	5924	3	18
2022	5924	3	18
2009	5925	3	17
2012	5925	3	6
2015	5925	3	18
2018	5925	3	18
2021	5925	3	18
2008	5926	3	18
2011	5926	3	18
2014	5926	3	18
2017	5926	3	18
2020	5926	3	18
2023	5926	3	18
2009	5927	3	18
2012	5927	3	18
2015	5927	3	18
2018	5927	3	18
2021	5927	3	18
2008	5928	3	18
2011	5928	3	18
2014	5928	3	18
2017	5928	3	18
2020	5928	3	18
2023	5928	3	18
2008	5929	3	18
2014	5929	3	18
2017	5929	3	18
2020	5929	3	18
2023	5929	3	18
2009	5930	3	10
2012	5930	3	18
2015	5930	3	18
2018	5930	3	18
2021	5930	3	18
2007	5931	3	18
2010	5931	3	12
2012	5931	3	6
2013	5931	3	18
2016	5931	3	18
2019	5931	3	18
2022	5931	3	18
2008	5932	3	18
2011	5932	3	18
2014	5932	3	18
2017	5932	3	18
2020	5932	3	18
2023	5932	3	18
2009	5933	3	18
2012	5933	3	18
2015	5933	3	18
2018	5933	3	18
2021	5933	3	18
2007	5936	3	6
2019	5936	3	18
2008	5956	3	18
2011	5956	3	18
2008	6012	3	18
2011	6012	3	18
2014	6012	3	12
2017	6012	3	18
2020	6012	3	18
2023	6012	3	18
2007	6013	3	18
2008	6013	3	12
2010	6013	3	18
2018	6013	3	18
2021	6013	3	18
2007	6019	3	18
2010	6019	3	18
2013	6019	3	18
2007	6026	3	18
2008	6026	3	18
2009	6026	3	18
2010	6026	3	18
2011	6026	3	18
2014	6026	3	18
2017	6026	3	18
2020	6026	3	18
2023	6026	3	18
2007	6030	3	18
2008	6030	3	18
2010	6030	3	18
2011	6030	3	18
2012	6030	3	18
2013	6030	3	18
2014	6030	3	18
2015	6030	3	18
2016	6030	3	18
2019	6030	3	18
2007	6068	3	18
2010	6068	3	18
2016	6068	3	11
2008	6069	3	18
2011	6069	3	18
2014	6069	3	18
2017	6069	3	18
2020	6069	3	12
2023	6069	3	18
2008	6071	3	18
2011	6071	3	18
2014	6071	3	18
2017	6071	3	18
2020	6071	3	12
2023	6071	3	18
2010	6076	3	18
2013	6076	3	18
2016	6076	3	18
2019	6076	3	18
2022	6076	3	18
2010	6077	3	18
2013	6077	3	18
2016	6077	3	18
2019	6077	3	18
2022	6077	3	18
2007	6079	3	18
2015	6079	3	18
2023	6079	3	18
2009	6080	3	18
2012	6080	3	18
2015	6080	3	18
2018	6080	3	18
2021	6080	3	18
2011	6081	3	18
2014	6081	3	18
2017	6081	3	18
2020	6081	3	6
2023	6081	3	18
2008	6082	3	11
2014	6082	3	18
2017	6082	3	18
2020	6082	3	18
2007	6083	3	18
2010	6083	3	18
2011	6083	3	18
2013	6083	3	18
2016	6083	3	18
2019	6083	3	18
2009	6084	3	18
2012	6084	3	12
2015	6084	3	18
2018	6084	3	18
2021	6084	3	18
2009	6085	3	6
2015	6085	3	18
2018	6085	3	18
2021	6085	3	18
2010	6086	3	18
2013	6086	3	18
2016	6086	3	18
2019	6086	3	18
2022	6086	3	18
2009	6087	3	6
2009	6088	3	18
2012	6088	3	18
2015	6088	3	18
2018	6088	3	18
2021	6088	3	18
2007	6089	3	18
2010	6089	3	18
2013	6089	3	18
2016	6089	3	18
2019	6089	3	18
2022	6089	3	18
2008	6090	3	18
2011	6090	3	18
2014	6090	3	18
2017	6090	3	18
